fen,moves,rating,themes
6k1/5p1p/2p3pP/ppr5/6P1/P3R3/KP6/8 b - - 0 33,c5g5 e3e8,399,endgame mate mateIn1 oneMove rookEndgame
1r3Q1k/6pp/prP5/4q3/B7/P6P/6P1/5R1K b - - 2 30,b8f8 f1f8,399,backRankMate endgame mate mateIn1 oneMove
2r1k1nr/2qnbppp/p2pb3/4p1P1/1p2P3/1N2BP2/PPPQB2P/1NKR3R w k - 2 15,d2b4 c7c2,399,mate mateIn1 oneMove opening queensideAttack
5rk1/pp4pp/2p1p3/4R3/8/2P5/P5PP/3B3K w - - 0 24,d1b3 f8f1,399,backRankMate endgame mate mateIn1 oneMove
4R2k/6p1/3r1n1p/8/pp6/3B1P2/P5PP/4R1K1 b - - 1 32,f6e8 e1e8,399,endgame master mate mateIn1 oneMove
8/Q6p/4r2k/3p4/8/5pP1/PP3P1P/6K1 w - - 1 36,a7d4 e6e1,399,endgame mate mateIn1 oneMove queenRookEndgame
5r2/1b1k1p1R/6p1/3qPp2/2pP4/Q1P5/6PP/6K1 w - - 2 39,a3f8 d5g2,399,endgame mate mateIn1 oneMove
3r2k1/p4rp1/1pp1pN1p/3q4/3P1b1P/P2R1P2/1PP3Q1/1K4R1 b - - 3 29,f7f6 g2g7,399,kingsideAttack master mate mateIn1 middlegame oneMove
6k1/R4n1p/2p3p1/8/1P6/6B1/Pr4PP/7K w - - 1 33,a2a3 b2b1 g3e1 b1e1,399,backRankMate endgame mate mateIn2 short
6k1/p1p2ppp/8/1r6/8/4P3/5PPP/2R3K1 w - - 0 26,c1c7 b5b1 c7c1 b1c1,399,backRankMate endgame mate mateIn2 rookEndgame short
5r1k/1pp1r1pp/p1nn4/5p1Q/P7/5P2/B2R2PP/B2Rq2K w - - 6 29,d1e1 e7e1,399,backRankMate mate mateIn1 middlegame oneMove
1n2Rk2/2qp1pp1/r2N1n2/pp1P3p/5Q2/3B4/PPP2PPP/6K1 b - - 3 20,f6e8 f4f7,399,master mate mateIn1 middlegame oneMove
3r1Q1k/6pp/p3p3/8/6PK/1P5P/q7/2B2R2 b - - 3 34,d8f8 f1f8,399,backRankMate endgame mate mateIn1 oneMove
3r4/p4Rpk/2p2n1p/8/Q1PqP3/5P2/6PP/1R1r3K w - - 5 30,b1d1 d4d1 a4d1 d8d1,399,backRankMate endgame mate mateIn2 short
r3Rk2/1pq2ppb/7p/1B3P2/PP4P1/7P/4Q1K1/8 b - - 1 35,a8e8 e2e8,399,endgame mate mateIn1 oneMove
r2q1rk1/1b2bppp/ppn2B2/3p4/2P5/P4N2/2QN1PPP/RB3RK1 b - - 0 16,e7f6 c2h7,399,kingsideAttack mate mateIn1 oneMove opening
r2q1rk1/pp3ppp/5n2/2P5/4p1b1/PNP5/4QPPP/R1B1K2R w KQ - 1 17,e2e3 d8d1,399,mate mateIn1 middlegame oneMove
r2q1rk1/pp3ppn/2np1b1p/2p1PQ2/8/2NB3P/PPP2PP1/R1B2RK1 b - - 0 13,d6e5 f5h7,399,kingsideAttack mate mateIn1 oneMove opening
rn1q1rk1/1b2bpp1/p3p2p/1p1n4/3P4/P1NQBN2/1PB2PPP/R4RK1 b - - 7 14,d5e3 d3h7,399,mate mateIn1 middlegame oneMove
r2r2k1/pp2ppbp/2p1b1p1/8/5B1P/2NR1P2/PPP3P1/2KR4 b - - 2 16,g8f8 d3d8 a8d8 d1d8,399,backRankMate mate mateIn2 middlegame short
r1b2rk1/1pp1qpp1/p3p2p/b3P3/4Q3/1P1BPN2/nB3PPP/3R1RK1 b - - 3 16,a2b4 e4h7,399,mate mateIn1 middlegame oneMove
r2n3k/ppq1r1pp/1np3p1/8/3NP3/5Q1P/PPB2PP1/3R1RK1 b - - 1 24,c7e5 f3f8,399,mate mateIn1 middlegame oneMove
3r1k2/5ppp/5b2/1BpP4/4R3/1P4PP/5PK1/8 b - - 0 26,d8d5 e4e8,399,endgame mate mateIn1 oneMove
6k1/p3pp1p/2p3p1/2q5/2P5/1P3R2/PQ2N1PP/3r3K w - - 1 24,e2g1 d1g1,399,endgame mate mateIn1 oneMove
3r1k2/1b2Np2/2p1p1pp/1p2q3/p6P/P5P1/BPP2P2/1K2R3 w - - 2 33,e1e5 d8d1,399,backRankMate endgame master mate mateIn1 oneMove
3r2k1/pp5p/2p3p1/2P5/PP6/5p2/1Q3P1P/6qK w - - 0 28,h1g1 d8d1,399,endgame master mate mateIn1 oneMove queenRookEndgame
r4rk1/pb2bppp/1p2pn2/2pq4/3n4/P1PP3P/1P1NBPPN/R1BQ1RK1 w - - 3 12,c3d4 d5g2,399,kingsideAttack mate mateIn1 middlegame oneMove
4k2r/1bp2pp1/2qp3p/4p3/1PP5/5N2/QBPn1PPP/5RK1 w k - 3 17,f3d2 c6g2,399,kingsideAttack mate mateIn1 middlegame oneMove
2rq2rk/5p1Q/3BpPp1/p3P3/1ppP1P2/2R5/P5KP/8 b - - 0 31,h8h7 c3h3,399,endgame master mate mateIn1 oneMove
r1b3k1/pppp1pPp/8/4q3/4r3/2P2Q2/P5PP/R4R1K b - - 1 18,d7d5 f3f7,399,kingsideAttack mate mateIn1 middlegame oneMove
3r1rk1/p1R4p/3Nbpp1/1P2p3/P7/4R3/5PPP/6K1 w - - 1 30,d6b7 d8d1 e3e1 d1e1,399,backRankMate endgame mate mateIn2 short
6k1/ppp2ppp/8/8/P1P1Pp2/4RP1q/1P5P/3Q3K b - - 0 25,f4e3 d1d8,399,backRankMate endgame mate mateIn1 oneMove queenEndgame
2r2rk1/ppq2p2/1n4p1/4p1Qp/4N3/P3P3/1PP3PP/2KR1R2 w - - 11 23,b2b3 c7c2,399,mate mateIn1 middlegame oneMove queensideAttack
3r2k1/p1R2p2/6pp/8/2P2P1b/P4P1b/R1B4P/1r4K1 w - - 0 28,c2b1 d8d1,399,endgame master mate mateIn1 oneMove
r3Q1k1/5ppp/1B6/3p4/2p5/P6P/2Pq2P1/4R1K1 b - - 1 29,a8e8 e1e8,399,backRankMate endgame mate mateIn1 oneMove
2kr3r/ppp4p/4bR2/2b5/8/2P5/PP4PP/RN5K w - - 0 18,f6e6 d8d1 e6e1 d1e1,399,backRankMate endgame mate mateIn2 short
6k1/p1Bn1ppp/4pr2/8/3P4/4P3/P5PP/1R3q1K w - - 0 27,b1f1 f6f1,399,backRankMate endgame mate mateIn1 oneMove
8/p4K1k/1p6/3p2Qp/8/P4PP1/1q6/8 b - - 0 45,b2g7 g5g7,399,endgame mate mateIn1 oneMove queenEndgame
3Q1r1k/p3Nppp/b7/8/8/2P5/P1q2PPP/3R2K1 b - - 4 28,f8d8 d1d8,399,backRankMate endgame mate mateIn1 oneMove
3r4/1pr1kppp/1B6/5b2/1Rp5/1P6/1P3PPP/6K1 w - - 0 25,b6c7 d8d1,399,backRankMate endgame mate mateIn1 oneMove
