fen,moves,rating,themes
r1b3k1/ppp2ppp/2n1q3/3p4/3N3Q/3P4/PPP3PP/1K3B1R b - - 1 18,c6d4 h4d8 e6e8 d8e8,1034,kingsideAttack mate mateIn2 middlegame short
rn1qrk1Q/p1p3p1/1p2p3/4P1N1/3P4/8/P2B1PPP/4K2R b K - 2 17,f8e7 h8g7,1020,mate mateIn1 middlegame oneMove
8/1p2ppk1/p4bp1/3P3p/5PK1/3QB1P1/P3N2P/7q w - - 0 41,g4h3 h1f1,1004,endgame mate mateIn1 oneMove
1r5k/p1pR1Bpp/8/2B5/8/2n5/P1n2PPP/4rRK1 w - - 1 21,f7b3 c3e2 g1h1 e1f1,1028,backRankMate deflection mate mateIn2 middlegame short
r2r2k1/1b2bppp/p3p3/1p1qP1B1/8/P2B3P/1P3PP1/R2QR1K1 w - - 0 18,g5e7 d5g2,1014,kingsideAttack mate mateIn1 middlegame oneMove
8/1Q6/1p1kpp2/p2p4/3P1Nnq/7N/6PK/8 w - - 1 42,h2g1 h4e1,1043,endgame mate mateIn1 oneMove
8/pb3p1k/1pq1p1pp/8/5P2/3Q2P1/PP5P/3R2K1 w - - 0 29,b2b3 c6g2,1002,endgame master mate mateIn1 oneMove
2kr3r/ppp2ppp/3q3b/4n3/P5n1/2N1P3/1PPB1PBP/3RQRK1 w - - 5 16,c3b5 e5f3 g2f3 d6h2,1035,discoveredAttack kingsideAttack master mate mateIn2 middlegame sacrifice short
r1r5/4kpbp/pqp3p1/3p1p2/3P4/Q3PN2/PP3PPP/2R2RK1 b - - 1 18,e7f6 a3d6,1037,mate mateIn1 middlegame oneMove
3R4/p4pk1/5nq1/2Q2p1p/7P/2P5/PP2r3/2K5 b - - 0 28,f5f4 c5f8 g7h7 f8h8,1015,endgame mate mateIn2 short
2rkr1Q1/6RQ/p1bp1p2/qp2p3/4P3/3B4/PPP1N3/2K5 w - - 3 29,g7a7 a5e1,1022,master mate mateIn1 middlegame oneMove
r2q2kr/p4Nbp/b5p1/1p1P4/3p1P2/BP1P4/P3Q1PP/R3R1K1 b - - 0 21,g8f7 e2e6,1029,mate mateIn1 middlegame oneMove
1kr5/p1p1Rp1p/1pp5/3bQN2/8/8/q5PP/3R2K1 w - - 0 31,e7e8 a2g2,1023,mate mateIn1 middlegame oneMove
5rk1/5ppp/8/3Q1N2/8/4P3/rq3nPP/2R2RK1 w - - 0 23,d5d4 f2h3 g2h3 b2h2,1035,discoveredAttack mate mateIn2 middlegame sacrifice short
3R4/1p3kbQ/p1q1p1p1/8/5B2/8/P4PPP/6K1 w - - 1 34,f4e5 c6c1 d8d1 c1d1,1046,backRankMate endgame mate mateIn2 short
8/kp2r3/P1b1r2p/6p1/1R6/6P1/5PP1/2R2K2 b - - 0 43,a7a6 c1a1 c6a4 a1a4,1005,endgame mate mateIn2 short
8/7p/5pp1/2Qb2k1/p5P1/6q1/P7/R3R1K1 w - - 1 34,g1f1 g3g2,1040,endgame mate mateIn1 oneMove
rn1qk2r/pp3pp1/2pbpn2/6N1/6Np/5Q1P/PPPP1PP1/R1B1K2R b KQkq - 3 13,f6g4 f3f7,1006,attackingF2F7 mate mateIn1 oneMove opening
rn3r1k/pp4pB/8/3P2q1/8/3Q1P1P/2P2P2/4R2K b - - 4 23,f8f6 e1e8 f6f8 e8f8,1039,mate mateIn2 middlegame short
rnq1kbnr/p1pppQ1p/1pb3p1/6N1/3P1P2/8/PPP3PP/RNB1K2R b KQ - 3 10,e8d8 f7f8,1026,hangingPiece mate mateIn1 oneMove opening
5rk1/4bp1R/2npb1p1/qB2p1P1/1p2P3/4BP2/1PPQ4/K6R w - - 1 23,a1b1 a5a2 b1c1 a2a1,1018,mate mateIn2 middlegame queensideAttack short
4r1k1/ppp2pp1/2bq3p/4r3/2PP2B1/P1n1R2P/5PP1/1RBQ2K1 w - - 0 22,e3c3 e5e1 d1e1 e8e1,1016,fork mate mateIn2 middlegame short
6k1/7p/1q2r1p1/1p3p2/pQ6/2P1RKP1/PPr4P/4R3 w - - 0 34,e3e6 c2f2,1040,endgame mate mateIn1 oneMove
k7/p4ppp/1n2p3/5q2/P7/1QN5/1PPr1PPP/5RK1 w - - 1 24,f1c1 f5f2 g1h1 f2g2,1001,endgame mate mateIn2 short
2r2k2/pp1p2b1/1q2p1p1/4n3/4nP2/1B1p4/PPP3PP/R1BQK2R w KQ - 0 15,f4e5 b6f2,1016,mate mateIn1 middlegame oneMove
r3Q2k/p1q3pp/3N4/2pp4/P4r2/3P4/1P3PPP/R3R1K1 b - - 2 19,a8e8 e1e8 f4f8 e8f8,1047,backRankMate endgame mate mateIn2 short
r4rk1/2p2p2/p6p/1p1pP3/3P2qp/2P1B2b/P3QPPP/4RRK1 w - - 0 23,e3h6 g4g2,1003,kingsideAttack mate mateIn1 middlegame oneMove
3rr1k1/pp3ppp/2n5/5QN1/P7/2qp4/6PP/R2R3K b - - 1 27,g7g6 f5f7 g8h8 f7h7,1010,mate mateIn2 middlegame short
r4r2/1ppq1p1k/3p1P1p/p5pP/2PNbR2/PP4Q1/1B4P1/3R3K b - - 0 30,g5f4 g3g7,1035,mate mateIn1 middlegame oneMove
1R4k1/5pbp/b7/4p2R/3pP3/3P1P2/r1r1BKP1/8 b - - 1 27,g7f8 h5g5 g8h8 b8f8,1035,deflection mate mateIn2 middlegame short
7k/4r3/7p/2p4q/3b3P/1P1P4/6Q1/2K2R2 b - - 3 40,h5h4 f1f8 h8h7 g2g8,1045,endgame mate mateIn2 short
2r1qrk1/pb1nbpp1/1p2p2p/1Pp1P1N1/2P5/P1N3P1/1BQ2PBP/R4RK1 b - - 0 16,b7g2 c2h7,1012,mate mateIn1 middlegame oneMove
8/4Q2R/2b2p2/1p2nkp1/2p1q1B1/7P/6PK/8 b - - 2 38,f5g6 e7g7,1031,endgame mate mateIn1 oneMove
2r2r2/q5kp/p2pp3/1p2R1pB/8/2P5/PP3PPP/R2Q2K1 w - - 1 23,d1d6 a7f2 g1h1 f2f1 a1f1 f8f1,1014,backRankMate long mate mateIn3 middlegame sacrifice
r3r1k1/ppp1nppp/8/4P3/2B3n1/1P4Nq/PB3P2/R2Q1RK1 w - - 1 19,f1e1 h3h2 g1f1 h2f2,1026,kingsideAttack mate mateIn2 middlegame short
r7/3R3p/5p2/4pP2/8/1R6/2r1knPP/5NK1 b - - 8 38,a8a1 b3e3,1049,endgame mate mateIn1 oneMove
6k1/3n2p1/4B1b1/q2pP3/1p1n1P2/1Q6/N2K4/4B3 b - - 0 34,g8h7 b3h3 g6h5 h3h5,1010,mate mateIn2 middlegame short
8/p2R1k1p/8/5p2/4pP2/1P2r1rP/P2R4/3K4 b - - 3 38,f7g6 d2d6 g6h5 d7h7,1024,deflection endgame mate mateIn2 rookEndgame short
8/1p3p2/1qp2kpp/p2rN3/P2P1QP1/1P6/5PK1/8 b - - 1 34,f6e6 f4f7 e6d6 e5c4,1011,endgame mate mateIn2 short
5rk1/1pp2p1p/4b1pP/8/1n1p1PP1/qP1Q4/2PP4/1K3BNR w - - 3 22,d3d4 a3a2 b1c1 a2c2,1038,mate mateIn2 middlegame queensideAttack short
r6r/pp1k1p1p/3p2p1/2pP4/3bPPnq/5R2/PP2Q1PP/RNB4K w - - 0 15,c1e3 h4h2,1035,kingsideAttack mate mateIn1 middlegame oneMove
r1bk1b1r/ppp1n3/2p3Q1/4qPB1/4p3/3P4/P1P2PPP/RN3RK1 w - - 2 13,d3e4 e5h2,1023,kingsideAttack mate mateIn1 oneMove opening
5r1k/5R1p/5Kp1/5p2/4p2P/3p2P1/5r2/1R6 b - - 5 45,h8g8 f7f8 g8f8 b1b8,1018,attraction endgame mate mateIn2 rookEndgame short
r1bq1r1k/p6p/3Np1pQ/1pp1PpP1/3p1P2/1P1P4/2PN3P/5R1K b - - 0 26,d8d7 h6f8,1027,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove
5k2/pp5R/4p1Q1/3p2P1/b7/q1rB4/PK4P1/7R w - - 1 27,b2a1 c3c1 h1c1 a3c1 d3b1 c1c3,1041,long mate mateIn3 middlegame
3rk2r/p1pq1p2/5p2/2p5/2PP2b1/1P2Pnp1/P3NPBP/R2Q1R1K w k - 0 18,f2g3 h8h2,1033,arabianMate kingsideAttack mate mateIn1 middlegame oneMove
2r3k1/pp3ppp/6r1/8/4qP2/7Q/PP4RP/R6K b - - 1 23,g6g2 h3c8 e4e8 c8e8,1040,endgame hangingPiece mate mateIn2 short
r6r/2pk3p/p1np2p1/1p1Bpnq1/3P4/2P4Q/PP3PPP/RN2R1K1 w - - 5 18,e1e4 g5c1 e4e1 c1e1,1018,kingsideAttack mate mateIn2 middlegame short
3r2k1/p4ppp/q3p3/8/5Q2/1P1rP3/P5PP/R4RK1 b - - 0 25,d3d2 f4f7 g8h8 f7f8 d8f8 f1f8,1013,backRankMate endgame long mate mateIn3 sacrifice
r3k2r/pR3p2/3p1Q1p/q1b1n3/8/4P3/b1PN1PPP/4KB1R b Kkq - 0 16,h8g8 f6e7,1012,mate mateIn1 middlegame oneMove
3k4/8/p1pr4/3PR2p/1P5P/P4Pp1/6P1/6K1 w - - 0 34,d5c6 d6d1 e5e1 d1e1,1023,endgame mate mateIn2 rookEndgame short
rnb1k2r/pp3ppp/4p3/2b5/3qB3/1P4P1/P1QP1P1P/R1B1K1NR w KQkq - 3 11,c1b2 d4f2 e1d1 f2f1,1026,attackingF2F7 mate mateIn2 opening short
3r2k1/5pp1/2q1p3/2P1P3/8/1P6/P3QP2/2R2K2 w - - 5 50,b3b4 c6h1,1004,endgame master mate mateIn1 oneMove
r2qkbnr/pp1n1bpp/2p2p2/4pN2/4P3/6P1/PPPN1PBP/R1BQ1RK1 b kq - 4 10,g8e7 f5d6,1030,mate mateIn1 oneMove opening smotheredMate
rnbq3r/pp3Q1p/3p1bpk/2p4n/6PP/4N3/PP3P2/RN2KB1R b KQ - 0 20,c8g4 e3g4,1001,hangingPiece mate mateIn1 middlegame oneMove
3r4/pb2NRbk/4p2p/1pp3p1/6N1/2P3P1/PP2K2P/R5r1 b - - 0 30,g1a1 g4f6 h7h8 e7g6,1028,mate mateIn2 middlegame short
2R1brk1/5p1p/Np2p3/1P6/P2P3q/4P3/1Q3PpK/2R5 w - - 1 33,h2g1 h4h1,1031,mate mateIn1 middlegame oneMove
r1bq1rk1/p1p1b1pB/1p1ppn2/6N1/1nPP4/2N4Q/PP3PPP/R1B2RK1 b - - 0 14,f6h7 h3h7,1027,kingsideAttack mate mateIn1 oneMove opening
3r2k1/ppp2ppp/2n3q1/3nN3/3P2bQ/4R3/PP3PP1/R4BK1 b - - 9 24,c6e5 h4d8,1047,backRankMate hangingPiece mate mateIn1 middlegame oneMove
3r4/pqnp1k1p/1p2p1p1/2b1P3/1P5P/P5n1/1BQ2P2/2R2RK1 w - - 0 27,b4c5 b7h1,1008,master mate mateIn1 middlegame oneMove
8/R4pp1/4bk1p/4p2P/2p1P3/B4nP1/1Pr3B1/7K b - - 2 33,f3e1 a3e7,1034,endgame master mate mateIn1 oneMove
5R2/3knP2/p2p1p2/1p1PpP2/4P3/Pp4Q1/1P1q2N1/1KBr4 w - - 3 31,g3b3 d2c1 b1a2 c1a1,1042,mate mateIn2 middlegame queensideAttack short
rk1Q4/8/4p3/1K2P3/3P4/8/8/q7 b - - 11 78,b8a7 d8c7,1035,endgame mate mateIn1 oneMove
8/R7/8/5kpp/8/P5PK/5r1P/8 w - - 0 46,a3a4 g5g4 h3h4 f2h2,1030,deflection endgame mate mateIn2 rookEndgame short
r3k2r/pbp2ppp/1pq1pn2/8/QbB5/4P3/PB1P1PPP/RN3RK1 w kq - 0 11,a4b4 c6g2,1020,kingsideAttack mate mateIn1 middlegame oneMove
8/p4Qb1/1p4Pk/2p2R2/7P/6q1/Pp6/1K6 w - - 2 41,f5f1 g3d3,1014,endgame mate mateIn1 oneMove
3r1rk1/1bq1bppp/p3pn2/1p1P4/7Q/2P1N3/PPB2PPP/R1B1K2R b KQ - 2 16,f6d5 h4h7,1015,kingsideAttack mate mateIn1 middlegame oneMove
3r1k2/pp4bp/6p1/2p1N3/Pn5P/1B4P1/2P2P2/4R1K1 b - - 3 35,d8e8 e5d7,1028,cornerMate endgame mate mateIn1 oneMove
rnb2rk1/pp3ppp/4p3/2p3PN/3P4/2PB2P1/P1P5/R3K2R b KQ - 1 17,g7g6 h5f6 g8g7 h1h7,1004,discoveredAttack hookMate kingsideAttack mate mateIn2 middlegame short
8/8/R7/1p2b1pk/3pN3/1P1P1K2/1Pr5/8 w - - 1 47,a6e6 g5g4,1013,endgame mate mateIn1 oneMove
2rq1rk1/4bppp/p1n1p3/1p1n3b/3PN3/PP1Q1N1P/1B3PP1/1BRR2K1 b - - 2 21,d5f4 e4f6 g7f6 d3h7,1021,discoveredAttack kingsideAttack mate mateIn2 middlegame sacrifice short
r3kb1r/1pp2pp1/p1b2n1p/3qp3/8/2PP1N1P/PP3PP1/RNBQ1RK1 w kq - 0 11,f3e5 d5g2,1003,kingsideAttack mate mateIn1 oneMove opening
r2r4/pp3q1k/2pQ2R1/5P2/4PR2/7P/6PK/8 b - - 4 33,d8d6 f4h4,1005,endgame mate mateIn1 oneMove queenRookEndgame
2r3k1/2r3pp/pq2p3/1p2P3/1P2pQ2/P1P4P/6P1/R4R1K b - - 1 29,c7c3 f4f7 g8h8 f7f8 c8f8 f1f8,1018,backRankMate endgame long mate mateIn3 sacrifice
5rk1/p4ppp/3b3q/4p3/4QP2/P3BBP1/1r5P/R4RK1 w - - 0 24,f4e5 h6h2,1008,mate mateIn1 middlegame oneMove
6k1/p4ppp/4p3/8/3P4/3bP2P/P1B3P1/KR2q3 b - - 11 34,e1e3 b1b8,1022,backRankMate endgame mate mateIn1 oneMove
r6k/p3P1pp/1pb3qB/2p1P3/3p4/P2P2Q1/6PP/5RK1 b - - 0 26,g6g3 f1f8 a8f8 e7f8q,1049,advancedPawn endgame mate mateIn2 promotion short
5R2/p1kr4/3p2p1/1P5p/2PQP2q/3KP3/8/8 b - - 5 40,h4e1 d4a7,1044,endgame mate mateIn1 oneMove
r2qk2r/ppp3pp/4pn2/2b1P3/8/5Q2/PPP3PP/RNB2R1K b kq - 2 12,f6d5 f3f7,1040,mate mateIn1 middlegame oneMove
6k1/2B2ppp/P7/QPpr4/4q3/4b3/P5PP/3R3K w - - 5 30,d1d5 e4b1 d5d1 b1d1 a5e1 d1e1,1012,backRankMate endgame long mate mateIn3
r3k2r/pp4p1/2p1pp2/5b2/3Pp2q/2P1B1bp/PP1QBP2/R4RK1 w kq - 0 20,f2g3 h4g3 g1h1 g3g2,1045,kingsideAttack mate mateIn2 middlegame short
rnb1k2r/1p3ppp/p3pn2/2b3B1/2p5/2N2NP1/PP2PPBP/R2R2K1 b kq - 1 10,f6g4 d1d8,1005,mate mateIn1 middlegame oneMove
3k4/3p3R/5q2/1b6/4P3/1P6/2P2QPP/5K2 w - - 0 33,f1g1 f6a1 f2e1 a1e1,1004,endgame mate mateIn2 short
rn2qrk1/pp3p1p/3bbB2/2p4Q/3pP3/8/PPP3PP/RN3RK1 b - - 0 14,d6e7 h5g5,1048,mate mateIn1 oneMove opening
rr6/3n3p/3p2pk/p7/1Pn1PP2/2BR4/PP4PP/1K2R3 b - - 0 28,a5b4 d3h3,1019,mate mateIn1 middlegame oneMove
8/8/P2Q4/6nk/4P2p/7P/5rPK/8 w - - 3 53,a6a7 g5f3 h2h1 f2f1,1013,endgame mate mateIn2 pin short
r6k/p4q1p/2p5/2bpp3/6Q1/2N5/PPP3PP/5RK1 w - - 2 23,g1h1 f7f1,1015,endgame hangingPiece mate mateIn1 oneMove
rn3rk1/ppN2p1p/3p2p1/7q/3PP3/1P3Pb1/P1P3b1/R1BQ2RK w - - 0 21,h1g2 h5h2 g2f1 h2f2,1004,mate mateIn2 middlegame short
r4rk1/p4ppp/2p5/2bp2qn/2P1P3/1PNQ1P2/P2BR1PP/5RK1 w - - 1 21,g1h1 h5g3 h2g3 g5h5,1007,clearance kingsideAttack mate mateIn2 middlegame sacrifice short
3q3k/4pQbp/2p1P3/4PB2/1ppB1P2/8/6KP/8 b - - 0 43,d8d4 f7e8 g7f8 e8f8,1031,endgame mate mateIn2 short
7k/5Qp1/4P2p/3q1K1P/8/8/8/8 w - - 8 43,f5g6 d5g5,1023,endgame mate mateIn1 oneMove queenEndgame
r1b1k2r/1p1n1ppp/p1n1p3/2bpP3/3N1PPq/2N5/PPP3BP/R1BQ1K1R w kq - 5 11,d4c6 h4f2,1021,mate mateIn1 oneMove opening
2kr1b2/p2n1p2/2p2n2/8/3P1Bb1/2NB2P1/PPP5/R3K3 b Q - 6 18,f6h5 d3a6,1021,bodenMate mate mateIn1 middlegame oneMove
r7/pp2ppkp/2n1b1p1/q2r4/8/P4P2/1PPQ2PP/1K1R1BNR w - - 0 16,d2a5 d5d1,1012,hangingPiece mate mateIn1 middlegame oneMove queensideAttack
r6r/pp3ppp/5k2/2Q5/5qn1/8/PPP2PPP/RN3RK1 w - - 1 17,b1c3 f4h2,1026,kingsideAttack mate mateIn1 middlegame oneMove
3R4/8/8/6p1/4P3/5PkP/4r1P1/6K1 w - - 0 64,d8g8 e2e1,1014,endgame mate mateIn1 oneMove rookEndgame
2rr1b1k/2q2Pp1/3p2PR/p3p3/1p2b3/PNN3Q1/1PP5/2K3R1 b - - 0 27,g7h6 g6g7 f8g7 g3g7,1000,advancedPawn fork mate mateIn2 middlegame short
6k1/pp4pp/2p5/3p1r2/2P3R1/1Pn1r3/P4PPP/5RK1 w - - 0 23,f2e3 c3e2 g1h1 f5f1,1049,backRankMate deflection endgame mate mateIn2 short
8/1B4k1/p2bPp1q/6p1/3P2P1/P1Np4/1P3P2/Q3R1Kr w - - 3 45,b7h1 h6h2 g1f1 h2h1,1018,deflection endgame mate mateIn2 short
8/pp3r1k/2p3pp/2Pp4/3P2q1/1P1Q1p2/P4P1B/4RK2 w - - 0 29,h2g3 g4h3 f1g1 h3g2,1013,endgame mate mateIn2 short
r1bq1r2/1p3pp1/p1n1pbk1/6N1/2pP3P/P1N5/1P3PP1/RQ2K2R b KQ - 3 14,g6h6 b1h7,1021,mate mateIn1 middlegame oneMove
r3r1k1/pp3ppp/2p3n1/3p1Q2/3B3q/2P2P2/PPP2KPP/R3R3 w - - 3 17,f2g1 e8e1 a1e1 h4e1,1037,kingsideAttack mate mateIn2 middlegame short
8/ppB4p/k1n2Rp1/3R4/bP6/8/5K1P/4r3 b - - 5 30,e1a1 d5a5,1021,endgame mate mateIn1 oneMove pin
1r5k/p4Q2/1p4pp/2p1b1q1/4P1N1/2P4P/PP1r2P1/R4RK1 w - - 3 25,g4e5 g5g2,1020,kingsideAttack mate mateIn1 middlegame oneMove
kr6/p1p2pp1/2p1P3/2B2P1p/2RP4/4R3/r5PP/6K1 w - - 1 27,e6e7 b8b1 c4c1 b1c1 e3e1 c1e1,1021,endgame long mate mateIn3
r1bq1b1r/1p3kpp/p2p4/2p1P3/6n1/2N2Q2/PPP2PPP/R1B1K2R b KQ - 1 11,f7g8 f3d5 c8e6 d5e6,1023,kingsideAttack mate mateIn2 opening short
1r5r/3R3B/p3pk2/3p4/1n3PP1/p7/2P4P/5RK1 b - - 0 26,a3a2 g4g5,1014,endgame master mate mateIn1 oneMove
5rk1/5rpp/2p5/6R1/p2Bp3/Pq1b2QP/1P4P1/4R1K1 b - - 6 29,g7g6 g5g6 h7g6 g3g6 f7g7 g6g7,1037,long mate mateIn3 middlegame sacrifice
r1b2rk1/3nppbp/p2p2pB/2pP3n/1p2P3/3B1P2/qPPQ2P1/1NKR2NR w - - 0 14,h1h5 a2b2,1015,mate mateIn1 middlegame oneMove queensideAttack
r2r2k1/pbq2pbp/4p1p1/1B6/1n1P4/1P3N1P/PB3PP1/RK2Q2R w - - 0 21,e1b4 b7e4 b5d3 e4d3,1027,mate mateIn2 middlegame queensideAttack short
r1b1k2r/1pp2ppp/1pB1q3/4p1B1/4P3/2P2N2/PPQ1K1Pn/R2R4 b kq - 0 14,b7c6 d1d8,1048,mate mateIn1 middlegame oneMove
r2qkb1r/ppp2ppp/5n2/3pnb2/2P5/4P3/PP1NNPPP/R1BQKB1R w KQkq - 0 7,c4d5 e5d3,1002,mate mateIn1 oneMove opening smotheredMate
rn2k2r/5ppp/p3p3/1P2N3/3qnP2/1Q6/1P3P1P/R3KB1R w KQkq - 0 18,a1d1 d4f2,1010,attackingF2F7 mate mateIn1 middlegame oneMove
6r1/2k4r/p4P2/P1bp4/2B1b3/2B5/1P4PP/4RR1K w - - 1 33,f6f7 e4g2,1048,mate mateIn1 middlegame oneMove
3b1rk1/3q2pp/2p2n2/1pPp4/2rPpP2/pN2P1Q1/P7/1K2B1RR b - - 12 31,d7f5 g3g7,1048,kingsideAttack master mate mateIn1 middlegame oneMove
r2q1r2/ppp2pk1/3p2pp/1P5b/2P1N1P1/P2Pp2P/4P3/1R1QKB1R w K - 0 17,g4h5 d8h4 e4g3 h4g3,1045,mate mateIn2 middlegame short
8/p6p/1p1R3k/3P4/5P2/2r4q/P5RP/7K b - - 6 34,h6h5 g2g5 h5h4 d6h6,1038,endgame mate mateIn2 queenRookEndgame short
r1b2b1r/p2p3p/n2k2p1/2pN2NB/2pp1B2/8/PP3PPP/R3K2R b KQ - 4 16,d6d5 h5f3,1049,master mate mateIn1 middlegame oneMove
rnb1k2r/ppp2p2/7p/2q1P1p1/4p3/2P3pP/PP1N4/RNBQ2KR w kq - 1 15,g1g2 c5f2,1004,mate mateIn1 middlegame oneMove
r2qkb1r/p1p1n1pp/2pp1p2/4N2b/2B1P3/2N4P/PPP2PP1/R1BQ1RK1 b kq - 0 10,h5d1 c4f7,1044,mate mateIn1 oneMove opening
5Q1k/1p4r1/2q1p3/1p1p1p2/3PnPpp/1P6/6PP/4R1K1 b - - 4 34,g7g8 f8h6,1007,endgame mate mateIn1 oneMove
r5k1/pp1Q1ppp/1q2p3/4b3/4p1P1/1P5P/P3N1K1/5R2 b - - 0 25,a8d8 d7f7 g8h8 f7f8 d8f8 f1f8,1044,backRankMate endgame long mate mateIn3 sacrifice
6rr/pp1k4/2p5/3pnN2/5N2/4P3/PPP2PPP/R4RK1 w - - 4 26,b2b3 e5f3 g1h1 h8h2,1029,arabianMate kingsideAttack mate mateIn2 middlegame pin short
r4r2/1p3ppk/3p3p/p2PpNbP/4P2R/q2P2Q1/5PK1/6R1 b - - 1 28,g5h4 g3g7,1045,mate mateIn1 middlegame oneMove
1k6/p7/5r2/6Q1/3P2P1/8/P4r1K/8 w - - 1 37,h2g3 f6f3 g3h4 f2h2,1034,endgame master mate mateIn2 queenRookEndgame short
k7/1R6/p4p2/2N2n2/P1P3p1/1P4P1/3r1PKP/8 w - - 1 33,b7f7 f5e3 g2h1 d2d1,1006,endgame mate mateIn2 pin short
2r4k/5p1p/p4p2/1p5Q/3b4/P4NqP/4R1P1/5K2 w - - 4 37,f3d4 c8c1 e2e1 c1e1,1015,endgame killBoxMate mate mateIn2 short
3r4/p5p1/6k1/2bp1n2/6p1/3P4/PPP3PP/R1B2R1K w - - 0 29,f1f4 f5g3 h2g3 d8h8,1029,endgame mate mateIn2 sacrifice short
1R6/8/8/8/8/8/k1K5/q7 b - - 3 87,a1d4 b8a8 d4a4 a8a4,1035,endgame master mate mateIn2 queenRookEndgame short
3r4/P4p2/1Np5/8/4P3/8/1PP2n2/2K3k1 w - - 0 40,a7a8q d8d1,1020,endgame master mate mateIn1 oneMove
8/5p1p/6pB/8/B1bp4/P1bk4/5PPP/3K4 b - - 11 32,c3b2 a4c2 d3c3 h6d2,1015,bishopEndgame endgame mate mateIn2 short
8/1p3kpp/p2p4/3r1pQ1/8/1P1P1P1P/P4qPK/2R1q3 b - - 1 34,e1d2 c1c7 f7e6 c7e7,1046,endgame killBoxMate mate mateIn2 short
6Q1/5K2/3kq3/8/8/8/8/8 w - - 1 73,f7f8 e6e7,1019,endgame mate mateIn1 oneMove queenEndgame
r1b2rk1/pp3ppp/2nbp3/7q/3P4/3BBN2/PP3PPP/R2Q1RK1 w - - 10 13,f3g5 h5h2,1039,kingsideAttack mate mateIn1 oneMove opening
4k1r1/1p2np2/p6Q/2B5/2P5/2qr1PPb/P6P/3RR1K1 w - - 0 32,d1d3 c3e1,1001,hangingPiece mate mateIn1 middlegame oneMove
r2q1rk1/4bppp/2np1n2/p3pN2/1p2P3/2PB2QP/PP3PP1/R1B1R1K1 b - - 1 18,b4c3 g3g7,1012,kingsideAttack mate mateIn1 middlegame oneMove
r2q2rk/1p1n1p1Q/p4Pp1/3pP3/1n1P4/1PNB1R2/P6P/R5K1 b - - 0 23,h8h7 f3h3,1033,master mate mateIn1 middlegame oneMove
8/5pkp/2p2pp1/2P5/7P/2QR1NP1/4qPK1/r7 w - - 7 46,d3d6 e2f1 g2h2 f1h1,1030,endgame mate mateIn2 short
2Q3R1/pp3n1p/5kp1/q7/3p4/8/1PP3PP/1NK5 w - - 3 28,c8c4 a5e1,1025,endgame mate mateIn1 oneMove
2k4r/p2b1r2/qRnBp2p/4P1p1/P1BP2n1/2P5/1RPQ2K1/8 b - - 0 31,a6c4 b6b8 c6b8 b2b8,1006,mate mateIn2 middlegame queensideAttack sacrifice short
r3kb2/1p2ppr1/p6p/3P1Q2/4P3/1Pq4P/P5P1/2R2R1K b q - 3 23,c3b2 c1c8 a8c8 f5c8,1021,mate mateIn2 middlegame short
r5k1/2p3pp/p1n5/1p4NQ/3p4/2P1q1P1/PP4P1/1K3R2 b - - 1 21,h7h6 h5f7 g8h8 f7f8 a8f8 f1f8,1039,endgame long mate mateIn3 sacrifice
2kr3r/1b1p4/1bp5/1p2QP1p/p2pPBpq/P2P2N1/BPP2P2/2KR4 b - - 3 24,b6c7 e5c7,1006,mate mateIn1 middlegame oneMove queensideAttack
2r1r1k1/3b1pp1/p1N2n1p/1p1P4/8/q6P/2Q1NPP1/1B1R2K1 b - - 3 25,f6d5 c2h7 g8f8 h7h8,1020,kingsideAttack mate mateIn2 middlegame short
7r/8/7p/1p1P4/2p3BR/PkP3P1/1P1q1Q2/1K6 b - - 0 37,d2f2 g4d1 f2c2 d1c2,1019,endgame mate mateIn2 short
r4rk1/pp3qpb/2pR4/2Pp4/1P2pP2/P5QP/1BP3P1/3R2K1 b - - 2 32,f7f4 g3g7,1008,kingsideAttack mate mateIn1 middlegame oneMove
rn1q1b1r/p3p1pp/2p5/6k1/3PP1Q1/2p4P/PP3PP1/R3K2R b KQ - 0 14,g5f6 g4f5,1032,mate mateIn1 middlegame oneMove
8/6pk/2R4p/8/6P1/r6K/7P/8 w - - 1 52,h3h4 g7g5 h4h5 a3h3,1004,endgame mate mateIn2 rookEndgame short
2r1kb1r/7p/p1Nqpn2/1p1pN1p1/2pP1P2/P1P5/1P1nB1PP/3Q1RK1 b k - 2 20,d2f1 e2h5 f6h5 d1h5,1022,mate mateIn2 middlegame short
5r1k/6pp/8/2P2p2/3PpP2/2Q1P1bP/3B1qP1/R6K w - - 5 36,d2e1 f2f1,1043,endgame mate mateIn1 oneMove
4Q3/B1p1Np1k/7p/4p3/7p/6qP/4nPPK/5r2 w - - 8 38,f2g3 h4g3,1049,endgame mate mateIn1 oneMove
8/8/8/7r/P2p4/3kp1R1/4R3/4K3 w - - 1 65,e2a2 h5h1 g3g1 h1g1,1046,endgame mate mateIn2 rookEndgame short
1k3r2/ppp1n3/8/8/3P4/P1P1PqP1/2Q2P2/R5KR w - - 7 29,c2d1 f3f2,1045,endgame mate mateIn1 oneMove
8/2R3pk/7p/1p5P/4NKP1/2Pr4/1n6/8 b - - 4 44,b2c4 e4f6 h7h8 c7c8 d3d8 c8d8,1014,endgame long mate mateIn3 pin
